nombre,zona,zona_original,frecuencia_dias,ultima_visita,visitas_registradas,compras,total_comprado,saldo_pendiente,ultima_observacion,activo
GOMERIA Y RECAPADO JULIAN,115,AV.115 Y ANDRESITO,10,2026-08-15,1,1,17000.0,0.0,VISITAR PROXIMA VUELTA,1
PERFORACIONES OLI,115,AV.115 Y ANDRESITO,10,2026-08-15,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
TALLER PELOSO,115,AV.115,10,2026-08-17,3,2,37900.0,0.0,VISITAR PROXIMA VUELTA,1
GOMERIA YANI,145,CALLE 145 CASI TACUARI,10,2026-08-11,1,1,5200.0,0.0,VISITAR PROXIMA VUELTA,1
BULON REPUESTOS,213,AV.213,10,2026-08-14,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
CARNICERIA 213,213,AV.213,10,2026-08-14,1,0,0.0,0.0,SIN INTERES DE COMPRA,1
COMPRA VENTA GATO,213,AV.213,10,2026-07-30,1,0,0.0,0.0,COMPRA EN A4 MEKA X 20 A $16.000,1
FJW,213,AV.213,10,2026-08-03,2,0,0.0,0.0,ESPERANDO QUE SE LE ENVIE PRESUPUESTO DE PRECIOS,1
LUBRICENTRO MIGUEL,213,AV.213,10,2026-08-20,3,2,50000.0,0.0,VISITAR PROXIMA VUELTA,1
LUBRICENTRO Y TALLER,213,AV.213,10,2026-07-30,1,0,0.0,0.0,PASAR POR LA MAÑANA,1
PREMOLDEADOS POSADAS,213,AV.213,10,2026-08-20,1,0,0.0,0.0,SIN INTERES DE COMPRA,1
ROTISERIA LA NONA,25 DE MAYO,CALLE 25 DE MAYO,10,2026-07-30,1,0,0.0,0.0,ME PASARON NUMERO PARA QUE ENVIE PRECIOS,1
FERRETERIA ZUCALUCE,AGUADO,AV.AGUADO,10,2026-08-10,1,0,0.0,0.0,CERRADO,1
REPUESTOS STIC,AGUADO,AV.AGUADO,10,2026-08-17,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
CARNICERIA CARNES&VINO,ANDRESITO,AV.ANDRESITO,10,2026-08-06,1,1,23200.0,0.0,VISITAR PROXIMA VUELTA,1
CARNICERIA VINOS&CO,ANDRESITO,AV.ANDRESITO,10,2026-08-21,6,5,95500.0,0.0,VISITAR PROXIMA VUELTA,1
MOTEL VENUS,ANDRESITO,AV.ANDRESITO,10,2026-07-29,1,0,0.0,0.0,PIDIO LISTA DE PRECIOS,1
CARNICERIA LO DE SEBA,BLAS PARERA,AV.BLAS PARERA,10,2026-08-07,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
FERRETERIA YACIRETA,BLAS PARERA,BLAS PARERA,10,2026-08-13,1,1,38000.0,0.0,VISITAR PROXIMA VUELTA,1
LAVADERO 2,BLAS PARERA,BLAS PARERA,10,2026-07-28,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
LAVADERO EL POLA,BLAS PARERA,AV.BLAS PARERA,10,2026-08-22,3,1,21500.0,0.0,TODAVIA CON STOCK,1
LAVADERO POLA,BLAS PARERA,AV.BLAS PARERA,10,2026-08-05,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
MINIMERCADO,BLAS PARERA,AV.BLAS PARERA Y AGUADO,10,2026-08-07,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
PANADERIA BLAS PARERA,BLAS PARERA,AV.BLAS PARERA,10,2026-08-19,1,0,0.0,0.0,ME PASARON NUMERO DE ENCARGADO,1
VERDULERIA LO DE LEO,BLAS PARERA,AV.BLAS PARERA Y AGUADO,10,2026-08-07,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
GOLDENBIKE,BOLIVAR,BOLIVAR,10,2026-07-30,1,0,0.0,0.0,FAMILIARES DE ALQUIMIA,1
TRIGO PAN,BOLIVAR,BOLIVAR,10,2026-07-30,1,0,0.0,0.0,PASAR POR CENTRAL DE URQUIZA,1
TALLER SPACIUK,BOUCHARDO,AV.BOUCHARDO,10,2026-08-20,2,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
TRANSPORTER SAUER,BOUCHARDO,AV.BOUCHARDO,10,2026-08-20,1,0,0.0,0.0,VISITAR POR LA MAÑANA,1
LAVADERO ANTONIO,BROWN,AV.BROWN,10,2026-08-19,3,1,33000.0,0.0,TODAVIA CON STOCK,1
LAVADERO CARWAS,BROWN,AV.BROWN,10,2026-08-22,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
LAVADERO VIKINGO,BROWN,AV.BROWN,10,2026-08-22,3,2,22200.0,0.0,VISITAR PROXIMA VUELTA,1
LUBRICENTRO DANI,BROWN,AV.BROWN,10,2026-08-22,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
ROTISERIA POTOTO,BROWN,AV.BROWN,10,2026-08-22,2,0,0.0,0.0,COMPRO EN LOCAL URUGUAY,1
ROTISERIA LOS PINOS,BUENOS AIRES,CALLE BUENOS AIRES Y SGO DEL STERO,10,2026-08-07,1,0,0.0,0.0,VISITAR POR LA MAÑANA,1
ROTISERIA MAS PIZZA,BUENOS AIRES,CALLE BUENOS AIRES,10,2026-08-07,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
CARNICERIA LYG,BUSTAMANTE,AV.BUSTAMANTE,10,2026-08-17,2,1,7500.0,0.0,VISITAR PROXIMA VUELTA,1
ESTACION DE SERVICIO DAPSA,BUSTAMANTE,AV.BUSTAMANTE,10,2026-08-11,1,0,0.0,0.0,TRABAJAN UNICAMENTE CON ALCOI,1
LAVADERO ALBERTO,BUSTAMANTE,AV.BUSTAMANTE Y AGUADO,10,2026-08-17,4,2,69500.0,0.0,VISITAR PROXIMA VUELTA,1
LAVADERO OSVALDO,BUSTAMANTE,AV.BUSTAMANTE,10,2026-08-15,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
MECANICA ALFONZO - PEDRIN,BUSTAMANTE,BUSTAMANTE Y FCO DE ARO,10,2026-08-14,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
MECANICA PEDRIN,BUSTAMANTE,AV.BUSTAMANTE,10,2026-08-18,1,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
RECTIFICADORA POSADAS,BUSTAMANTE,AV.BUSTAMANTE,10,2026-08-20,2,0,0.0,0.0,VISITAR PROXIMA VUELTA,1
TALLER ANIBAL,BUSTAMANTE,BUSTAMANTE Y FCO DE ARO,10,2026-08-14,1,0,0.0,0.0,PASAR POR LA MAÑANA,1
TALLER BUSTAMANTE,BUSTAMANTE,AV.BUSTAMANTE,10,2026-08-20,1,0,0.0,0.0,SIN INTERES DE COMPRA,1
CASIMIRO,CABO DE HORNOS,AV.CABO DE HORNOS,10,2026-08-12,1,0,0.0,0.0,PASAR A VISITAR POR OFICINA DE SHOPING -MORENO JOSE,1
FERRETERIA INDUSTRIAL,CABO DE HORNOS,AV.CABO DE HORNOS,10,2026-08-12,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
LAVADERO CABO DE HORNOS,CABO DE HORNOS,AV.CABO DE HORNOS,10,2026-08-07,1,0,0.0,0.0,ME PIDIERON NUMERO PARA LISTA DE PRECIO,1
AGROVETERINARIA,CABRED,CABRED CASI URUGUAY,10,2026-07-27,1,0,0.0,0.0,"VISITAR DESPUES DE LAS 10 AM ,ME PIDIO NUMERO",1
DESPENSA EL GORDO,CABRED,CABRED CASI URUGUAY,10,2026-07-27,1,0,0.0,0.0,VISITAR DESPUES DE LAS 10 AM,1
