nombre_a,nombre_b,similitud
CARNICERIA AVA,CARNICERIA FATIMA,0.84
ESTACION DE SERVICIO AXION,ESTACION DE SERVICIO DAPSA,0.85
ESTACION DE SERVICIO DAPSA,ESTACION DE SERVICIO SHELL,0.85
FANK REPUESTOS,FRANK REPUESTOS,0.97
FERRETERIA EL CRUCE,FERRETERIA EL TREBOL,0.82
FERRETERIA RYM,FERRETERIA STAR,0.83
FERRETERIA SANDRA,FERRETERIA STAR,0.88
FERRETERIA STAR,FERRETERIA TACUARI,0.85
FERRETERIA Y REPUESTOS,FERRETERIA Y REPUESTOS SAN ROQUE,0.81
GOMERIA JUAN,GOMERIA YANI,0.83
GYM DOMINIUS,GYM DOMINUS,0.96
LA MAMI DE DANI,PANADERIA LA MAMI DE DANI,0.75
LAVADERO 2,LAVADERO ZN,0.86
LAVADERO ALBERTO,LAVADERO WALTER,0.84
LAVADERO ANTONIO,LAVADERO YONI,0.83
LAVADERO EL POLA,LAVADERO POLA,0.9
LAVADERO ESQUINA,LAVADERO ESQUINA BLAS PARERA,0.73
LAVADERO NAIN,LAVADERO YONI,0.85
LAVADERO NAIN,LAVADERO ZN,0.83
LAVADERO POLA,LAVADERO POSADAS,0.83
LAVADERO STAIL,LAVADERO STYLE,0.86
LAVADERO YONI,LAVADERO ZN,0.83
LAVADERO ZN,LAVADERO ZN SEBA,0.81
LUBRICENTRO HUGO,LUBRICENTRO HUGO SANTA CRUZ,0.74
MECANICA MARQUEZ,MECANICA SUAREZ,0.84
RADIO ANDRES,RADIO ANDRES FCO DE ARO,0.69
REPUESTOS RS,REPUESTOS STIC,0.85
ROTISERIA LO DE JUAN,ROTISERIA LO DE JUAN - PAOLA,0.83
TALLER EDUARDO,TALLER GERARDO,0.86
TALLER EDUARDO,TALLER PEDRO,0.85
TALLER YOU,TALLER YOU SUSPENSIONES,0.61
