fecha,cliente,zona,compro,articulos,forma_pago,monto,saldo_pendiente,observaciones
2026-07-27,EST.DE SERV.AXION,CABRED Y URUGUAY,0,,,0.0,0.0,VISITAR CENTRAL DE QUARANTA 03/08
2026-07-27,LA MAMI DE DANI,CABRED CASI URUGUAY,0,,,0.0,0.0,VISITAR PROXIMA VUELTA
2026-07-27,DESPENSA EL GORDO,CABRED CASI URUGUAY,0,,,0.0,0.0,VISITAR DESPUES DE LAS 10 AM
2026-07-27,AGROVETERINARIA,CABRED CASI URUGUAY,0,,,0.0,0.0,"VISITAR DESPUES DE LAS 10 AM ,ME PIDIO NUMERO"
2026-07-27,VETERINARIA ITATI,FRANCISCO DE ARO,0,,,0.0,0.0,ME PIDIO MI NUMERO
2026-07-27,TALLER MAZZUCHINI,FRANCISCO DE ARO,0,,,0.0,0.0,"ESTAN INTERESADOS EN COMPRAR ,DEJAR MUESTRAS"
2026-07-27,HOTEL FCO DE ARO,FRANCISCO DE ARO,0,,,0.0,0.0,"TRABAJAN CON ALQUIMIA,ME PIDIO MI NUMERO"
2026-07-27,VETERINARIA ANIMAL WORK,FRANCISCO DE ARO,0,,,0.0,0.0,VISITAR EN AV TACUARI DE 08 A 14
2026-07-27,RADIO ANDRES FCO DE ARO,FRANCISCO DE ARO,0,,,0.0,0.0,VISITAR EN CABRED
2026-07-27,TALLER TOTI,FRANCISCO DE ARO,1,1 ROLLO ECOLOGICO,EFECTIVO,11500.0,0.0,VISITAR PROXIMA VUELTA
2026-07-27,LUBRICENTRO SIMOVIL,FRANCISCO DE ARO,0,,,0.0,0.0,ESTAN CERRANDO
2026-07-27,SUPERMERCADO SUPER FRANCISCO,FRANCISCO DE ARO,0,,,0.0,0.0,VISITAR PROXIMA VUELTA
2026-07-27,EST.DE SERV.AXION,AV.SAN MARTIN Y QUARANTA,0,,,0.0,0.0,VISITAR CENTRAL DE QUARANTA 03/08
2026-07-27,DORACI,AV.QUARANTA,0,,,0.0,0.0,SIN INTERES DE COMPRA
2026-07-27,PANADERIA PANAFLIA,AV.QUARANTA,1,1-DETER.1-LAVA.1-LIMP.P,EFECTIVO,17000.0,0.0,VISITAR PROXIMA VUELTA
2026-07-27,HOTEL OAKY,AV.QUARANTA,1,3-HIPOC.1-LIMP.P,EFECTIVO,23100.0,0.0,VISITAR PROXIMA VUELTA
2026-07-27,GYM DOMINUS,AV.SAN MARTIN,1,1-LIMP.P-2-TRAPOS PISO,EFECTIVO,9800.0,0.0,VISITAR PROXIMA VUELTA
2026-07-27,TALLER YAPEYU,FRANCISCO DE ARO,0,,,0.0,0.0,VISITAR PROXIMA VUELTA
